,country,cor,p,from,until,supposedDatapoint,realDatapoint,numOfMissingValue,realDataPoint,cor_depression,p_depression,cor_drug_disorder,p_drug_disorder,cor_smoke,p_smoke,cor_gdp,p_gdp,cor_gini,p_gini,cor_sex_ratio,p_ratio,cor_population_density,p_population_density,cor_wage,p_wage,cor_unemployment,p_unemployment,cor_elder,p_elder
11,Uruguay,0.8648185540000001,8.620000000000001e-11,1980,2015,36,,3,33,0.7866351935793914,1.1426239260549488e-06,0.7588706326568683,4.475395443962046e-06,-0.734326507,1.15e-06,0.7112199659999999,5.6e-07,-0.328717971,0.27280538,-0.804398547,7.340000000000001e-07,0.9015764446953336,1.1561302453506375e-14,,,0.002870923,0.988660965,0.7237743000861803,2.9276790345633464e-05
12,Guyana,0.856650967,1.1899999999999999e-08,1979,2013,35,,8,27,0.7819657031248897,1.4572199554230532e-06,0.7855442305732858,1.2100725142706672e-06,0.817124211,6.579999999999999e-09,0.7258273279999999,2.52e-07,,,0.8556485979999999,5e-08,-0.5095088682091892,0.0010860325243317662,,,-0.314883055,0.109652178,0.6454330475199609,0.0004937139800082656
13,Chile,0.8388516979999999,1.68e-10,1980,2015,36,,0,36,-0.8253362276132653,1.1723831443385403e-07,0.42643030690436656,0.026549541762716664,-0.86758411,6.379999999999999e-11,0.7522331529999999,5.17e-08,-0.8520570140000001,0.000217083,0.8389198640000001,1.32e-08,0.8579169227866162,5.9095166641364635e-12,0.571624553061286,0.006786563761634831,0.589667218,0.001208253,0.8057156730815049,1.339559979023504e-07
14,Malta,0.804663157,1.95e-09,1979,2015,37,,0,37,-0.5417365951997045,0.0035162594552149325,0.4962200051191038,0.008474894800971662,-0.40131495,0.020626658,0.73371152,1.6e-07,0.422421545,0.223936373,0.6317311529999999,0.000237342,0.8352046623482128,7.006184652508825e-11,,,-0.49867983200000005,0.008105402,0.5624391725822042,0.0014943867690180852
15,Ireland,0.7071701970000001,1.42e-06,1979,2014,36,,0,36,0.10941129027045432,0.5869565574415142,-0.014639479292034912,0.9422253648819467,-0.674429086,1.6800000000000002e-05,0.6022330370000001,6.330000000000001e-05,-0.06184579,0.840925397,-0.545007916,0.0027082779999999997,0.5244582551125243,0.0007248508259990889,0.04859704019193948,0.8097792683650638,,,0.24003723169485106,0.21857228301747114
16,Belize,0.632718155,0.00010203299999999999,1980,2015,36,,4,32,0.4252504629179296,0.02701629389286922,0.39999022680890817,0.038709218115702534,-0.6235633939999999,0.00010583,0.6893556470000001,1.7e-06,-0.748292757,0.087061155,-0.433498486,0.023888298,0.6672322296008324,4.7609170631729965e-06,,,,,-0.21914924723066584,0.2720876125856023
17,Ecuador,0.6160974610000001,4.92e-05,1979,2015,37,,0,37,0.4924637477110511,0.00906631835957863,0.5788179312519248,0.0015608787471104973,-0.6939225259999999,7.52e-06,0.454271335,0.004170391,-0.12301706400000001,0.615858598,-0.581223091,0.000944773,0.6119412769687955,4.457383706002921e-05,,,-0.44449791200000005,0.020181743999999998,0.5334687451010868,0.0028814792984095928
18,Guatemala,0.587427255,0.00025969299999999997,1979,2015,37,,3,34,-0.2967750913626881,0.13278188433775542,-0.0779376260242575,0.6991993302349311,-0.482769015,0.004433060999999999,0.551479239,0.00033233599999999997,-0.469838961,0.424585049,-0.13818192599999998,0.474707565,0.6330516134320149,1.9975145651075596e-05,,,,,0.6498239153134394,0.00013617643598108924
19,Colombia,0.563632767,0.000781636,1984,2015,32,,0,32,0.28441052318253185,0.15049063175886898,0.4867247712385582,0.010036414467150829,-0.6964662490000001,6.74e-06,0.405788783,0.011481627,0.46493493799999996,0.051882832999999996,-0.680634326,4.84e-05,0.6735289349499101,3.5822777939076896e-06,,,0.543357003,0.003400133,0.4073962660960206,0.02826784990713918
20,Kuwait,0.554918531,0.001195442,1979,2014,36,,5,31,-0.1949139836788052,0.3299248715255457,0.12338172520124713,0.5397945395337723,-0.546203404,0.001007935,0.25539932600000004,0.138667171,,,0.147932795,0.50055426,,1.0,,,-0.185102023,0.355315135,-0.012291740691052046,0.9556097980773992
